method,score,calls
cross-encoder,-11.132424354553223,1
cross-encoder,-11.131868362426758,1
cross-encoder,-11.130687713623047,1
cross-encoder,-11.130666732788086,1
cross-encoder,-11.12955379486084,1
cross-encoder,-11.128593444824219,1
cross-encoder,-11.127899169921875,1
cross-encoder,-11.12769889831543,1
cross-encoder,-11.127281188964844,1
cross-encoder,-11.126945495605469,1
cross-encoder,-11.126930236816406,1
cross-encoder,-11.12608814239502,1
cross-encoder,-11.126052856445312,1
cross-encoder,-11.125799179077148,1
cross-encoder,-11.125025749206543,1
cross-encoder,-11.124998092651367,1
cross-encoder,-11.12458610534668,1
cross-encoder,-11.123361587524414,1
cross-encoder,-11.122620582580566,1
cross-encoder,-11.122015953063965,1
cross-encoder,-11.12185287475586,1
cross-encoder,-11.121672630310059,1
cross-encoder,-11.120950698852539,1
cross-encoder,-11.120887756347656,1
cross-encoder,-11.120620727539062,1
cross-encoder,-11.119970321655273,1
cross-encoder,-11.119590759277344,1
cross-encoder,-11.118952751159668,1
cross-encoder,-11.118843078613281,1
cross-encoder,-11.118413925170898,1
cross-encoder,-11.118308067321777,1
cross-encoder,-11.117828369140625,1
cross-encoder,-11.116859436035156,1
cross-encoder,-11.116413116455078,1
cross-encoder,-11.114812850952148,1
cross-encoder,-11.114169120788574,1
cross-encoder,-11.114027976989746,1
cross-encoder,-11.113924980163574,1
cross-encoder,-11.113897323608398,1
cross-encoder,-11.113845825195312,1
cross-encoder,-11.113588333129883,1
cross-encoder,-11.11320686340332,1
cross-encoder,-11.113112449645996,1
cross-encoder,-11.112892150878906,1
cross-encoder,-11.112525939941406,1
cross-encoder,-11.112492561340332,1
cross-encoder,-11.112174987792969,1
cross-encoder,-11.11205768585205,1
cross-encoder,-11.111462593078613,1
cross-encoder,-11.111129760742188,1
cross-encoder,-11.110584259033203,1
cross-encoder,-11.110185623168945,1
cross-encoder,-11.109930038452148,1
cross-encoder,-11.109837532043457,1
cross-encoder,-11.109703063964844,1
cross-encoder,-11.109689712524414,1
cross-encoder,-11.109041213989258,1
cross-encoder,-11.10800838470459,1
cross-encoder,-11.107892990112305,2
cross-encoder,-11.107706069946289,1
cross-encoder,-11.107513427734375,1
cross-encoder,-11.10734748840332,1
cross-encoder,-11.107284545898438,1
cross-encoder,-11.106639862060547,1
cross-encoder,-11.106433868408203,1
cross-encoder,-11.106426239013672,1
cross-encoder,-11.10639762878418,1
cross-encoder,-11.105839729309082,1
cross-encoder,-11.105461120605469,1
cross-encoder,-11.105159759521484,1
cross-encoder,-11.104887008666992,1
cross-encoder,-11.104403495788574,1
cross-encoder,-11.10352897644043,1
cross-encoder,-11.102819442749023,1
cross-encoder,-11.102575302124023,1
cross-encoder,-11.10244369506836,1
cross-encoder,-11.102211952209473,1
cross-encoder,-11.101902961730957,1
cross-encoder,-11.101749420166016,1
cross-encoder,-11.10162353515625,1
cross-encoder,-11.101031303405762,1
cross-encoder,-11.099297523498535,1
cross-encoder,-11.099023818969727,1
cross-encoder,-11.098711013793945,1
cross-encoder,-11.098329544067383,1
cross-encoder,-11.09769058227539,1
cross-encoder,-11.097518920898438,1
cross-encoder,-11.097160339355469,1
cross-encoder,-11.096771240234375,1
cross-encoder,-11.096569061279297,1
cross-encoder,-11.096026420593262,1
cross-encoder,-11.094383239746094,1
cross-encoder,-11.094138145446777,1
cross-encoder,-11.093986511230469,1
cross-encoder,-11.093710899353027,1
cross-encoder,-11.093496322631836,1
cross-encoder,-11.092683792114258,1
cross-encoder,-11.092594146728516,1
cross-encoder,-11.092506408691406,1
cross-encoder,-11.091804504394531,1
cross-encoder,-11.091743469238281,1
cross-encoder,-11.091689109802246,1
cross-encoder,-11.091547012329102,1
cross-encoder,-11.091083526611328,1
cross-encoder,-11.090730667114258,1
cross-encoder,-11.090620994567871,1
cross-encoder,-11.090520858764648,1
cross-encoder,-11.090421676635742,1
cross-encoder,-11.090085983276367,1
cross-encoder,-11.08957290649414,1
cross-encoder,-11.088949203491211,1
cross-encoder,-11.088759422302246,1
cross-encoder,-11.088615417480469,1
cross-encoder,-11.088460922241211,1
cross-encoder,-11.088075637817383,1
cross-encoder,-11.08755111694336,1
cross-encoder,-11.087052345275879,1
cross-encoder,-11.086827278137207,1
cross-encoder,-11.085382461547852,1
cross-encoder,-11.08456802368164,1
cross-encoder,-11.084396362304688,1
cross-encoder,-11.084095001220703,1
cross-encoder,-11.083508491516113,1
cross-encoder,-11.083370208740234,1
cross-encoder,-11.083277702331543,1
cross-encoder,-11.083150863647461,1
cross-encoder,-11.08299446105957,1
cross-encoder,-11.082901954650879,1
cross-encoder,-11.082793235778809,1
cross-encoder,-11.082691192626953,1
cross-encoder,-11.082265853881836,1
cross-encoder,-11.081583976745605,1
cross-encoder,-11.0809907913208,1
cross-encoder,-11.080819129943848,1
